0,1,2,3,4,5,6_1,6_2,6_3,7,8,y
24.0,1,2,3.0,1,1,1,0,0,2,0,0
45.0,0,2,10.0,1,1,0,1,0,3,0,0
43.0,1,2,7.0,1,1,0,1,0,3,0,0
42.0,2,1,9.0,1,1,0,1,0,2,0,0
36.0,2,2,8.0,1,1,0,1,0,1,0,0
19.0,3,3,0.0,1,1,0,1,0,2,0,0
38.0,1,2,6.0,1,1,0,1,0,1,0,0
21.0,2,2,1.0,1,0,0,1,0,1,0,0
27.0,1,2,3.0,1,1,0,1,0,3,0,0
45.0,0,0,8.0,1,1,1,0,0,1,1,0
38.0,0,2,2.0,1,0,0,1,0,2,1,0
42.0,0,3,4.0,1,1,0,0,0,2,0,0
44.0,3,3,1.0,1,0,0,0,0,3,0,0
42.0,1,3,1.0,1,0,0,1,0,2,0,0
38.0,2,3,2.0,1,1,1,0,0,2,0,0
26.0,1,3,0.0,1,1,0,0,1,0,0,0
48.0,0,0,7.0,1,1,1,0,0,3,0,0
39.0,1,1,6.0,1,1,1,0,0,3,0,0
37.0,1,1,8.0,1,1,1,0,0,2,0,0
39.0,1,0,5.0,1,1,1,0,0,0,1,0
26.0,2,3,1.0,1,0,0,0,1,0,0,0
24.0,2,3,0.0,1,0,0,1,0,0,0,0
46.0,3,3,1.0,0,1,0,0,0,3,0,0
39.0,3,3,1.0,1,1,0,0,0,3,0,0
48.0,3,3,5.0,1,1,0,0,0,3,0,0
40.0,1,3,8.0,1,1,0,1,0,2,0,0
38.0,3,3,1.0,1,0,0,0,0,3,0,0
29.0,3,3,0.0,1,0,0,0,0,3,0,0
24.0,3,3,0.0,1,0,1,0,0,1,0,0
43.0,0,1,8.0,1,1,1,0,0,3,0,0
31.0,2,3,2.0,1,1,0,0,0,3,0,0
31.0,3,3,2.0,1,1,0,1,0,1,0,0
26.0,1,3,0.0,1,0,0,0,0,1,0,0
33.0,1,1,2.0,1,1,0,1,0,0,0,0
24.0,1,2,1.0,1,1,0,1,0,2,0,0
42.0,0,2,9.0,1,1,0,1,0,1,1,0
43.0,0,1,8.0,1,0,0,1,0,0,0,0
25.0,2,2,4.0,1,1,0,1,0,1,0,0
42.0,1,1,3.0,1,1,0,1,0,3,0,0
28.0,1,1,1.0,1,1,1,0,0,3,0,0
28.0,0,0,3.0,1,1,0,1,0,0,0,0
47.0,1,2,0.0,1,0,0,0,0,2,0,0
48.0,1,3,2.0,1,1,0,0,0,2,0,0
40.0,3,3,2.0,0,1,0,0,0,3,0,0
